id,key,english,korean
59517822820352,"=================
            ERA
=================","=================

=================","=================

================="
22760928212856832,fRoundsKey_NumberOfRounds,Number Of Rounds,라운드 수
22777396723888128,Key_10,10,10
22509212997431296,Key_144,144,144
61085485883392,Key_1940s,1940s,1940년대
30533594588033024,Key_2nd,2nd,2위
22777031303540736,Key_3,3,3
30533910175854592,Key_3rd,3rd,3위
22777074274185216,Key_4,4,4
30534137154809856,Key_4th,4th,4위
22777101256142848,Key_5,5,5
30534366449020928,Key_5th,5th,5위
22777232906956800,Key_6,6,6
22509188121014272,Key_60,60,60
30535287484624896,Key_6th,6th,6위
22777269531619328,Key_7,7,7
22777311709540352,Key_8,8,8
22777364645851136,Key_9,9,9
38059091584790528,Key_ACCEPT,ACCEPT,동의함
8741690917695488,Key_AncientRomeEra,Ancient Rome Era,고대 로마 시대
8743008122089472,Key_AntiqueVase,Antique Vase,골동품 꽃병
22772930050174976,Key_AnyRounds,Any Rounds,상관없음
22772884831383552,Key_AnySize,Any Size,상관없음
32920323739529216,Key_AreYouSure?,Are You Sure?,정말로 확실합니까?
22459150917349376,Key_AUCTION,AUCTION,경매
22461020264116224,Key_AuctionDesc,"In each round, every player chooses one of three items they wish to sell. Players take turns attempting to sell their items through an auction. Only the seller knows the specific price and the clauses of their item. When the time is up, the highest bidder wins the item.",라운드마다 모든 플레이어는 판매할 세 아이템 중 하나를 고릅니다. 플레이어들은 순서대로 경매를 통해 판매를 시도합니다. 판매자만 가격과 조항을 알 수 있습니다. 시간 종료 시 최고 입찰자가 획득합니다.
22471963891118080,Key_Audio,Audio,오디오
22767325885411328,Key_Back,Back,뒤로
22507666574323712,Key_Borderless,Borderless,테두리 없음
21795646463979520,Key_BoughtPrice,Bought Price: ,구매 가격: 
22504957720834048,Key_Brightness,Brightness,밝기
19270011376885760,Key_BronzeAge,Bronze Age,청동기 시대
22542136727744512,Key_BrowseLobby,Browse Lobby,로비 찾아보기
22092913821528064,Key_Buy,BUY,구매
22090449206554624,Key_BuyCards,BUY CARDS,카드 구매
21742467823087616,Key_BuyerName,Buyer Name,구매자 이름
22510832011358208,Key_CameraShake,Camera Shake,카메라 흔들림
22045893828194304,Key_Card10_Desc,"50% chance to gain 500, or nothing.","50% 확률로 500 획득, 실패 시 없음."
22045582942187520,Key_Card10_Name,Roll the Dice II,주사위 굴리기 II
22046109323145216,Key_Card11_Desc,"30% chance to gain 700, or nothing.","30% 확률로 700 획득, 실패 시 없음."
22046085180731392,Key_Card11_Name,Roll the Dice III,주사위 굴리기 III
22047275532595200,Key_Card12_Desc,"15% chance to gain 1000, or nothing.","15% 확률로 1000 획득, 실패 시 없음."
22047062172545024,Key_Card12_Name,Roll the Dice IV,주사위 굴리기 IV
22047863850840064,Key_Card13_Desc,"5% chance to gain 1500, or nothing.","5% 확률로 1500 획득, 실패 시 없음."
22047844452184064,Key_Card13_Name,Roll the Dice V,주사위 굴리기 V
22048311102058496,Key_Card14_Desc,"Make a sharp guess. If their money is above 1000, they lose 300.",정밀 예측을 합니다. 상대의 돈이 1000 이상이면 300을 잃습니다.
22048289362980864,Key_Card14_Name,Sharp Guess,정밀 예측
22048908375142400,Key_Card15_Desc,"Choose a player. Slip your hand in, steal a random card. If they have none, you get nothing.",플레이어 1명을 선택합니다. 슬쩍 손을 넣어 무작위 카드를 훔칩니다. 카드가 없다면 아무것도 얻지 못합니다.
22048890406744064,Key_Card15_Name,Pickpocket,소매치기
